airline,airline ID, source airport, source airport id,destination airport, destination airport id, stops, equipment,source_longitude,source_latitude,source_city,source_country,source_country_code,dest_longitude,dest_latitude,dest_city,dest_country,dest_country_code,distance,new_source_latitude,new_source_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
2N,3652,AJR,730.0,LYC,719.0,0.0,ATP,19.2819004058837,65.5903015136718,Arvidsjaur,Sweden,SE,18.7161998748779,64.5483016967773,Lycksele,Sweden,SE,118.8590409400688,65.59033,19.16682,64.59537,18.67351,113.0197827370422,#FF3333,14124.494503407568
2N,3652,ARN,737.0,GEV,715.0,0.0,ATP,17.918600082397,59.651901245117,Stockholm,Sweden,SE,20.8145999908447,67.1324005126953,Gallivare,Sweden,SE,843.97581484681,59.32938,18.06871,67.1379,20.659362,877.7149049971066,#FF3333,93887.3396331491
2N,3652,ARN,737.0,HAD,709.0,0.0,SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,12.8201999664306,56.6911010742187,Halmstad,Sweden,SE,444.4784372618869,59.32938,18.06871,56.67446,12.85676,425.75187012377785,#FF3333,49942.62809880756
2N,3652,ARN,737.0,JKG,688.0,0.0,ATP SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,14.0686998367309,57.7575988769531,Joenkoeping,Sweden,SE,306.20541977349114,59.32938,18.06871,57.78145,14.15618,284.76681097047214,#FF3333,34732.59617508403
2N,3652,ARN,737.0,KRF,718.0,0.0,ATP,17.918600082397,59.651901245117,Stockholm,Sweden,SE,17.7688999176025,63.048599243164,Kramfors,Sweden,SE,377.7796235183198,59.32938,18.06871,62.93161,17.77646,400.8557783374671,#FF3333,42605.75858701517
2N,3652,ARN,737.0,KSD,5595.0,0.0,SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,13.3374004364,59.4446983336999,Karlstad,Sweden,SE,259.1468311020483,59.32938,18.06871,59.3793,13.50357,258.7567278629139,#FF3333,29556.15142122531
2N,3652,ARN,737.0,LYC,719.0,0.0,ATP,17.918600082397,59.651901245117,Stockholm,Sweden,SE,18.7161998748779,64.5483016967773,Lycksele,Sweden,SE,546.0229776499833,59.32938,18.06871,64.59537,18.67351,586.3970710288169,#FF3333,61112.527541498166
2N,3652,ARN,737.0,MHQ,442.0,0.0,SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,19.898199081421,60.122200012207,Mariehamn,Finland,FI,122.18564500712084,59.32938,18.06871,60.09726,19.93481,135.0533963429338,#FF3333,14490.420950783291
2N,3652,ARN,737.0,OER,722.0,0.0,ATR,17.918600082397,59.651901245117,Stockholm,Sweden,SE,18.9899997711181,63.4082984924316,Ornskoldsvik,Sweden,SE,421.5199429806031,59.32938,18.06871,63.29091,18.71525,441.8460772684101,#FF3333,47417.19372786634
2N,3652,ARN,737.0,POR,448.0,0.0,SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,21.799999237061,61.461700439453,Pori,Finland,FI,292.3265699251815,59.32938,18.06871,61.48333,21.78333,314.50137787913553,#FF3333,33205.92269176996
2N,3652,ARN,737.0,VBY,746.0,0.0,SF3 ATP,17.918600082397,59.651901245117,Stockholm,Sweden,SE,18.346200942993,57.662799835205,Visby,Sweden,SE,222.55517159028403,59.32938,18.06871,57.64089,18.29602,188.21551565848208,#FF3333,25531.068874931243
2N,3652,ARN,737.0,VHM,729.0,0.0,SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,16.8335990905761,64.5791015625,Vilhelmina,Sweden,SE,550.7566446512773,59.32938,18.06871,64.62417,16.65596,593.3238074873924,#FF3333,61633.2309116405
2N,3652,ARN,737.0,VXO,711.0,0.0,SF3,17.918600082397,59.651901245117,Stockholm,Sweden,SE,14.7279996871948,56.929100036621,Vaxjo,Sweden,SE,355.4905069725591,59.32938,18.06871,56.87767,14.80906,333.0812260728885,#FF3333,40153.955766981504
