,departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance
0,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400003,Göteborg,Göteborg Central,57.709309,11.973425,396.39655152365214
1,7400003,Göteborg,Göteborg Central,57.709309,11.973425,7400014,Halmstad,Halmstad Central,56.669212,12.864301,127.50034934103441
2,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400017,Nässjö,Nässjö Central,57.652128,14.694783,270.12749556865504
3,7400017,Nässjö,Nässjö Central,57.652128,14.694783,7400071,Jönköping,Jönköping Central,57.784629,14.162901,34.85398207437937
4,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400330,Kramfors,Kramfors station,62.928976,17.778227,400.4668022871887
5,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400004,Malmö,Malmö Central,55.609231,13.00126,512.1276606610505
6,7400004,Malmö,Malmö Central,55.609231,13.00126,8601242,Koebenhavns,Koebenhavns Lufthavn st,55.629609,12.649378,22.21066149817706
7,8601242,Koebenhavns,Koebenhavns Lufthavn st,55.629609,12.649378,8600623,Fredericia,Fredericia st,55.568087,9.738814,182.9657446450046
8,8600623,Fredericia,Fredericia st,55.568087,9.738814,8000103,Flensburg,Flensburg,54.774079,9.436175,90.35713779888013
9,8000103,Flensburg,Flensburg,54.774079,9.436175,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,140.7019398880309
10,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,8000260,Würzburg,Würzburg Hbf,49.802163,9.93593,417.16151937170383
11,8000260,Würzburg,Würzburg Hbf,49.802163,9.93593,8003189,Karlstadt,Karlstadt(Main),49.962935,9.768254,21.538807402376964
12,7400002,Stockholm,Stockholm Central,59.33001,18.05763,7400124,Örnsköldsvik,Örnsköldsvik C,63.287933,18.705168,441.45048041797975
13,7400014,Halmstad,Halmstad Central,56.669212,12.864301,7400154,Helsingborg,Helsingborg Central,56.043689,12.69507,70.33190521752434
14,7400154,Helsingborg,Helsingborg Central,56.043689,12.69507,7400002,Stockholm,Stockholm Central,59.33001,18.05763,484.6046620379349
16,7400154,Helsingborg,Helsingborg Central,56.043689,12.69507,7400017,Nässjö,Nässjö Central,57.652128,14.694783,216.25212091548528
18,7400071,Jönköping,Jönköping Central,57.784629,14.162901,7400017,Nässjö,Nässjö Central,57.652128,14.694783,34.85398207437937
19,7400017,Nässjö,Nässjö Central,57.652128,14.694783,7400002,Stockholm,Stockholm Central,59.33001,18.05763,270.12749556865504
20,7400071,Jönköping,Jönköping Central,57.784629,14.162901,7400107,Vaggeryd,Vaggeryd station,57.498386,14.145596,31.845426455583755
21,7400107,Vaggeryd,Vaggeryd station,57.498386,14.145596,7400014,Halmstad,Halmstad Central,56.669212,12.864301,120.3907516092008
22,7400330,Kramfors,Kramfors station,62.928976,17.778227,7400002,Stockholm,Stockholm Central,59.33001,18.05763,400.4668022871887
23,8003189,Karlstadt,Karlstadt(Main),49.962935,9.768254,8000150,Hanau,Hanau Hbf,50.120903,8.92921,62.43933338870752
24,8000150,Hanau,Hanau Hbf,50.120903,8.92921,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,388.7872357261834
25,8002549,Hamburg,Hamburg Hbf,53.553533,10.00636,8000271,Neumünster,Neumünster,54.076336,9.980031,58.15873072964569
26,8000271,Neumünster,Neumünster,54.076336,9.980031,8000103,Flensburg,Flensburg,54.774079,9.436175,85.18888854445974
27,8000103,Flensburg,Flensburg,54.774079,9.436175,8600623,Fredericia,Fredericia st,55.568087,9.738814,90.35713779888012
28,8600623,Fredericia,Fredericia st,55.568087,9.738814,8601242,Koebenhavns,Koebenhavns Lufthavn st,55.629609,12.649378,182.9657446450046
29,8601242,Koebenhavns,Koebenhavns Lufthavn st,55.629609,12.649378,7400004,Malmö,Malmö Central,55.609231,13.00126,22.21066149817706
30,7400004,Malmö,Malmö Central,55.609231,13.00126,7400002,Stockholm,Stockholm Central,59.33001,18.05763,512.1276606610505
31,7400124,Örnsköldsvik,Örnsköldsvik C,63.287933,18.705168,7400002,Stockholm,Stockholm Central,59.33001,18.05763,441.45048041797975
32,8000249,Memmingen,Memmingen,47.985848,10.186954,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,66.80872478022653
33,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,8300093,Venezia,Venezia Mestre,45.481903,12.231901,336.506140128295
34,8300093,Venezia,Venezia Mestre,45.481903,12.231901,8300239,Napoli,Napoli Centrale,40.852827,14.273072,540.6430405796857
35,8300239,Napoli,Napoli Centrale,40.852827,14.273072,8300263,Roma,Roma Termini,41.900492,12.502791,188.11281564094025
36,8300263,Roma,Roma Termini,41.900492,12.502791,8100002,Salzburg,Salzburg Hbf,47.813848,13.045514,658.9203918875827
37,8100002,Salzburg,Salzburg Hbf,47.813848,13.045514,8000108,Freilassing,Freilassing,47.836798,12.977187,5.703716126623073
38,8000108,Freilassing,Freilassing,47.836798,12.977187,8098262,München,München Hbf Gl.5-10,48.140094,11.555373,111.05477794873924
39,8098262,München,München Hbf Gl.5-10,48.140094,11.555373,8098261,München,München Hbf Gl.27-36,48.141532,11.556712,0.1882519854345683
40,8098261,München,München Hbf Gl.27-36,48.141532,11.556712,8000057,Buchloe,Buchloe,48.033734,10.71623,63.568838376963264
41,8000057,Buchloe,Buchloe,48.033734,10.71623,8000249,Memmingen,Memmingen,47.985848,10.186954,39.73107483427545
42,7100045,Malaga,Malaga,36.71182,-4.43214,7100049,Madrid,Madrid-Puerta de Atocha,40.405964,-3.689757,415.8060170255378
43,7100049,Madrid,Madrid-Puerta de Atocha,40.405964,-3.689757,7100064,Barcelona,Barcelona Sants,41.378911,2.140368,501.75343804898114
44,7100064,Barcelona,Barcelona Sants,41.378911,2.140368,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,830.3747015509547
45,8700012,Paris,Paris Gare de Lyon,48.844839,2.374069,8700011,Paris,Paris Est,48.876976,2.35912,3.7370591344107753
46,8700011,Paris,Paris Est,48.876976,2.35912,8000244,Mannheim,Mannheim Hbf,49.479181,8.469268,449.03222856235425
47,8000244,Mannheim,Mannheim Hbf,49.479181,8.469268,8010205,Leipzig,Leipzig Hbf,51.345081,12.381167,346.1671598028437
48,8010205,Leipzig,Leipzig Hbf,51.345081,12.381167,8098160,Berlin,Berlin Hbf (tief),52.52585,13.368892,147.72570014215938
49,8300186,Ancona,Ancona,43.607598,13.497798,8300217,Bologna,Bologna Centrale,44.506142,11.343407,199.04031414772518
50,8300217,Bologna,Bologna Centrale,44.506142,11.343407,8100147,Villach,Villach Hbf,46.618625,13.848539,305.2730526941088
51,8100147,Villach,Villach Hbf,46.618625,13.848539,8000261,München,München Hbf,48.140364,11.558744,241.55051336662126
52,8000261,München,München Hbf,48.140364,11.558744,8098160,Berlin,Berlin Hbf (tief),52.52585,13.368892,504.2418498338116
53,8300217,Bologna,Bologna Centrale,44.506142,11.343407,8300093,Venezia,Venezia Mestre,45.481903,12.231901,129.0465184501754
54,8300093,Venezia,Venezia Mestre,45.481903,12.231901,8100002,Salzburg,Salzburg Hbf,47.813848,13.045514,266.6298423151952
55,8100002,Salzburg,Salzburg Hbf,47.813848,13.045514,8098262,München,München Hbf Gl.5-10,48.140094,11.555373,116.70101385876669
56,8098262,München,München Hbf Gl.5-10,48.140094,11.555373,8000261,München,München Hbf,48.140364,11.558744,0.25192844599423264
58,8300307,Catania,Catania Centrale,37.506574,15.100161,8300263,Roma,Roma Termini,41.900492,12.502791,536.6636738087248
