city,country,latitude,longitude
Aalborg,Denmark,57.048,9.9187
Aarhus,Denmark,56.15674,10.21076
Agen,France,44.20199,0.62055
Agoncillo,Spain,42.44667,-2.2898
Ajaccio,France,41.91886,8.73812
Alexandroupoli,Greece,40.84995,25.87644
Alghero,Italy,40.55969,8.31953
Amsterdam,Netherlands,52.37403,4.88969
Ancona,Italy,43.5942,13.50337
Angermunde,Germany,53.01499,13.99924
Angers,France,47.47156,-0.55202
Angouleme,France,45.64997,0.15345
Appenweier,Germany,48.5476784,7.9744954
Arad, Romania,46.18333,21.31667
Arlanda,Sweden,59.32938,18.06871
Arth,Switzerland,47.06337,8.52349
Arvidsjaur,Sweden,65.59033,19.16682
Astypalaia,Greece,36.55,26.35
Athens,Greece,37.97945,23.71622
Augsburg,Germany,48.37154,10.89851
Aurillac,France,44.92539,2.43983
Avignon,France,43.94834,4.80892
Badajoz,Spain,38.87789,-6.97061
Baden,Germany,47.76258,9.29031
Baia,Romania,44.71667,28.66667
Baia Mare,Romania,47.65729,23.56808
Bari,Turkey,37.65409,40.54635
Basel,Belgium,51.14741,4.30129
Bastia,Italy,45.38609,11.65196
Beauvais,France,49.43333,2.08333
Belfort,France,47.64218,6.85385
Bellinzona,Switzerland,46.19278,9.01703
Benevento,Italy,41.1307,14.77816
Bergamo,Italy,45.69601,9.66721
Bergerac,France,44.85157,0.48171
Berlin,Germany,52.52437,13.41053
Bern,France,50.96232,2.40963
Bernau,Germany,47.80018,8.0383
Beziers,France,43.34122,3.21402
Biarritz-bayonne,France,43.48055,-1.55684
Bayonne,France,43.49316,-1.473
Biel,Spain,42.38763,-0.94154
Bilbao,Spain,43.26271,-2.92528
Billund,Denmark,55.73349,9.10785
Bischofshofen,Austria,47.41667,13.21667
Bischofswerda,Germany,51.12771,14.17974
Boden,Switzerland,47.39721,8.45734
Bologna,Italy,44.49381,11.33875
Bolzano,Italy,46.49067,11.33982
Bordeaux,France,44.84044,-0.5805
Borlange,Sweden,60.484304,15.433969
Bourgas,Bulgaria,42.50606,27.46781
Brasov,Romania,45.64861,25.60613
Bratislava,Slovakia,48.14816,17.10674
Breclav,Czech Republic,48.75897,16.88203
Bregenz,Austria,47.50311,9.7471
Bremen,Germany,53.07516,8.80777
Brennero,Italy,47.00571,11.50633
Brest,France,48.39029,-4.48628
Brig,Switzerland,46.31667,7.98333
Brindisi,Italy,40.63215,17.93607
Brive,France,45.1589,1.53326
Brno,Czech Republic,49.19522,16.60796
Bruck,Austria,47.28494,12.8231
Brussels,Canada,50.85045,4.34878
Bruxelles,Belgium,50.85045,4.34878
Bucharest,Romania,44.43225,26.10626
Buchloe,Germany,48.03719,10.72548
Budapest,Hungary,47.49835,19.04045
Burgos,Spain,42.34106,-3.70184
Buxtehude,Germany,53.46716,9.68636
Buzet,Belgium,50.54038,4.36998
Bydgoszcz,Poland,53.1235,18.00762
Bochen,Germany,53.48008,10.6176
Butzow,Germany,53.84832,11.98256
Cadca,Slovakia,49.43503,18.78895
Caen,France,49.18585,-0.35912
Cagliari,Italy,39.23054,9.11917
Caltanissetta,Italy,37.49025,14.06216
Calvi,France,42.56604,8.75713
Carcassonne,France,43.21649,2.34863
Caserta,Italy,41.07262,14.33231
Castejon,Spain,41.98204,-0.99393
Castelfranco,Italy,43.62156,11.55885
Castres,France,44.69675,-0.44487
Catania,Italy,37.49223,15.07041
Cerbere,France,42.44094,3.16518
Chalons,France,48.95393,4.36724
Chalupki,Poland,49.92559,18.3173
Chambery,France,45.56628,5.92079
Chania,Greece,35.51124,24.02921
Charleroi,Belgium,50.41136,4.44448
Cheb,Czech Republic,50.07963,12.37392
Chester,United Kingdom,53.1905,-2.89189
Chiasso,Switzerland,45.83203,9.03119
Chios,Greece,38.36875,26.13718
City of Barcelona,Spain,41.38879,2.15899
City of London,United Kingdom,51.51279,-0.09184
Clermont-Ferrand,France,45.77969,3.08682
Cluj-Napoca,Romania,46.76667,23.6
Cluj-napoca,Romania,46.770439,23.591423
Cologne,Germany,50.93333,6.95
Comiso,Italy,36.94893,14.60731
Connaught, Ireland,43.1256,36.5736
Copenhagen,Denmark,55.67594,12.56553
Corfu,Greece,39.62441,19.92016
Cork,Ireland,51.89797,-8.47061
Cottbus,Germany,51.75769,14.32888
Craiova,Romania,44.31667,23.8
Crewe,United Kingdom,53.09787,-2.44161
Cuneo,Italy,44.39071,7.54828
Cyclades Islands, Greece,37.0,25.166666
Czestochowa,Poland,50.79646,19.12409
Dax,France,43.71032,-1.05366
Deblin,Poland,51.55912,21.84829
Debrecen,Hungary,47.53167,21.62444
Decin,Czech Republic,50.78215,14.21478
Dej,Romania,47.15,23.86667
Delemont,Switzerland,47.36493,7.34453
Dijon,France,47.31667,5.01667
Divaca,Slovenia,45.68472,13.97028
Dobbin-Linstow, Germany,53.61003110000001,12.3497339
Dobova,Slovenia,45.883,15.667
Dole,France,47.09225,5.48966
Domodossola,Italy,46.1165,8.29313
Dongloe,Ireland,54.95111,-8.35917
Dortmund,Germany,51.51494,7.466
Dresden,Germany,51.05089,13.73832
Dublin,Ireland,53.33306,-6.24889
Dubrovnik,Slovenia,46.65139,16.3525
Dusseldorf,Germany,51.22172,6.77616
Eberswalde,Germany,52.83492,13.81951
Eindhoven,Netherlands,51.44083,5.47778
Erfurt,Germany,50.9787,11.03283
Esbjerg,Denmark,55.47028,8.45187
Faro,Italy,38.26794,15.58268
Fertoszentmiklos, Hungary,47.34382,19.04335
Figari,France,41.48792,9.13013
Flensburg,Germany,54.78431,9.43961
Florence,Italy,43.77925,11.24626
Foggia,Italy,41.45845,15.55188
Frankfurt (Oder),Germany,52.34714,14.55062
Fredericia,Denmark,55.56568,9.75257
Freiburg,Germany,50.91089,13.33881
Freilassing,Germany,47.84085,12.98114
Friedrichshafen,Germany,47.65689,9.47554
Gallivare, Sweden,67.1379,20.659362
Gdansk,Poland,54.35227,18.64912
Gdynia,Poland,54.51889,18.53188
Gemunden,Germany,50.97401,8.96946
Genova,Italy,44.40478,8.94439
Geneve,Switzerland,46.20222,6.14569
Girona City, Spain,41.98311,2.82493
Gliwice,Poland,50.29761,18.67658
Gorizia,Italy,45.94088,13.62167
Gorna,Bulgaria,43.12778,25.70167
Gothenborg, Sweden,57.70716,11.96679
Graz,Austria,47.06667,15.45
Groningen,Netherlands,53.21917,6.56667
Guben,Poland,51.94956,14.72837
Gavle,Sweden,60.67452,17.14174
Garlitz,Germany,51.15518,14.98853
Goteborg,Sweden,57.70716,11.96679
Gustrow,Germany,53.7972,12.17337
Hagfors,Sweden,60.02378,13.67214
Hahn,Germany,49.942329564,7.258498966
Halle,Germany,51.99122,9.56532
Halmstad,Sweden,56.67446,12.85676
Hamburg,Germany,53.57532,10.01534
Hanau,Germany,50.13423,8.91418
Hanover,Germany,52.37052,9.73322
Heidelberg,Germany,49.40768,8.69079
Helsingborg,Sweden,56.04673,12.69437
Helsinki,Finland,60.16952,24.93545
Hemavan,Sweden,65.803663452,15.076333028
Heraklion,Greece,35.32787,25.14341
Heringsdorf,Germany,54.301,11.00658
Hof,Austria,47.86667,13.31667
Holyhead,United Kingdom,53.30621,-4.63211
Horta,Spain,40.95,0.31667
Hranice,Czech Republic,49.54796,17.73469
Hrpelje,Slovenia,45.57278,14.00472
Hyeres,France,43.12038,6.12857
Hassleholm,Sweden,56.15905,13.76638
Iasi,Romania,47.16667,27.6
Ibiza,Spain,38.90883,1.43296
Igoumenitsa,Greece,39.50342,20.26728
Ikaria,Greece,37.619830854,26.055999776
Innsbruck,Austria,47.26266,11.39454
Ioannina,Greece,39.66486,20.85189
Ivalo,Finland,68.65986,27.53891
Jesenice,Czech Republic,49.96814,14.5135
Joenkoeping,Sweden,57.78145,14.15618
Joensuu,Finland,62.60118,29.76316
Jyvaskyla,Finland,62.24147,25.72088
Jonkoping,Sweden,57.78145,14.15618
Kajaani,Finland,64.22728,27.72846
Kalamata,Greece,37.03913,22.11265
Kalkmar, Sweden,56.66157,16.36163
Kalymnos,Greece,36.9503,26.98388
Karlsruhe,Germany,49.00937,8.40444
Karlstad,Sweden,59.3793,13.50357
Karlstadt,Germany,49.96034,9.77239
Karpathos,Greece,35.50701,27.21322
